GridNo,Latitude,Longitude,Identity,PreyBase,Predators,ForestCover_Water,HumanDisturbance,OtherSpecies,Payoff_prey,Payoff_predator,Payoff_forest,Payoff_human,Payoff_other,p_prey,p_predator,p_forest,p_human,p_other,Score_prey,Score_predator,Score_forest,Score_human,Score_other,Net_score_grid,Rank,mycolor,habitat
1,18.5,72.5,0,6.233333333,6.233333333,0,3.5,4.209090909,6.233333333,6.233333333,0,3.5,4.209090909,-6,-6,6,6,1,-37.4,-37.4,0,21,4.209090909,-247.9545455,194,Yellow,-1
2,19.5,72.5,0,0.466666667,0,0,0,4.464285714,0.466666667,6.233333333,0,0,4.464285714,6,6,6,6,1,2.800000002,37.4,0,0,4.464285714,223.3214286,86,Brown,-1
3,20.5,72.5,0,1.133333333,0,0,0,5.5,1.133333333,6.233333333,0,0,5.5,6,6,6,6,-6,6.799999998,37.4,0,0,-33,55.99999999,123,Blue,-1
4,21.5,72.5,0,0.433333333,0,4.733333333,0,5.241666667,0.433333333,6.233333333,4.733333333,0,5.241666667,6,6,1,6,-6,2.599999998,37.4,4.733333333,0,-31.45,66.41666666,119,Pink,-1
5,29.5,72.5,0,3.566666667,0,4.316666667,0,3.76,3.566666667,6.233333333,4.316666667,0,3.76,1,6,1,6,1,3.566666667,37.4,4.316666667,0,3.76,245.2166667,66,Brown,-1
6,30.5,72.5,0,0,0,0,0,3.66,0,6.233333333,0,0,3.66,6,6,6,6,1,0,37.4,0,0,3.66,205.3,99,Pink,-1
7,22.5,72.5,F11,3.52,3.52,6.944444444,0.4,23,3.52,6.233333333,6.944444444,0.4,23,1,6,-6,6,-6,3.52,37.4,-41.66666666,2.4,-138,-681.7333333,225,Black,-1
8,23.5,72.5,F12,5.6,5.6,17.25,0.8,7.666666667,5.6,6.233333333,17.25,0.8,7.666666667,-6,-6,-6,6,-6,-33.6,-37.4,-103.5,4.8,-46,-1078.5,231,Black,-1
9,24.5,72.5,F13,4.56,4.56,1.722222222,0,6.955555556,4.56,6.233333333,1.722222222,0,6.955555556,1,6,6,6,-6,4.56,37.4,10.33333333,0,-41.73333334,52.79999995,128,Blue,-1
10,25.5,72.5,F14,5.98,5.98,4.833333333,0,1.166666667,5.98,6.233333333,4.833333333,0,1.166666667,-6,-6,1,6,6,-35.88,-37.4,4.833333333,0,7.000000002,-307.2333333,198,Yellow,-1
