Reserves,Latitude,Longitude
Sariska,27.3285,76.4332
Bandhavgarh,23.7225,81.0242
Ranthambore,26.0173,76.5026
JimCorbett,29.53,78.7747
Sundarbans,21.867,89.1833
Kanha,22.3345,80.6115
Pench,21.763,79.3391
Tadoba,20.2944,79.115
Dudhwa,28.2925,80.3847
Indrawati,22.0646,82.015
Melghat,21.406,77.1485
Palamau,23.2555,83.365
Simplipal,22.0828,86.3704
Panna,24.5909,79.9417
Valmiki,27.38,84.1435
Keoladeo,27.1593,77.5232
Nagarjunsagar Sirisailam,16.4515,80.0045
Bori Satpura,22.4515,77.503
